状态ID,页面ID,平台,页面,状态码,进入条件,展示行为,允许操作,禁用操作,恢复策略,埋点事件,是否终态,成熟度
STA-00101,SCR-SEARCH-001,ANDROID,全局搜索,OFFLINE,网络不可用,只读页面可展示标记为缓存的数据；写操作禁用,重试网络,与当前状态、权限或服务端version冲突的所有写操作,恢复网络后主动刷新,page_state_scr_search_001_offline,否,FROZEN_V1.2.2
STA-00102,SCR-SEARCH-002,ANDROID,搜索结果,IDLE,尚未输入或执行搜索,展示历史、热词和推荐,输入/选择,与当前状态、权限或服务端version冲突的所有写操作,输入后进入SUGGESTING,page_state_scr_search_002_idle,否,FROZEN_V1.2.2
STA-00103,SCR-SEARCH-002,ANDROID,搜索结果,SUGGESTING,搜索联想请求中或已返回,展示联想词并允许键盘选择,选择/提交,与当前状态、权限或服务端version冲突的所有写操作,新输入取消旧请求,page_state_scr_search_002_suggesting,否,FROZEN_V1.2.2
STA-00104,SCR-SEARCH-002,ANDROID,搜索结果,SEARCHING,搜索请求进行中,保留查询词，展示结果骨架,取消/修改,与当前状态、权限或服务端version冲突的所有写操作,失败不清空查询条件,page_state_scr_search_002_searching,否,FROZEN_V1.2.2
STA-00105,SCR-SEARCH-002,ANDROID,搜索结果,CONTENT,核心数据完整且可交互,展示内容并按权限/状态机计算操作入口,页面定义的读写动作,与当前状态、权限或服务端version冲突的所有写操作,刷新或执行操作,page_state_scr_search_002_content,否,FROZEN_V1.2.2
STA-00106,SCR-SEARCH-002,ANDROID,搜索结果,EMPTY,查询成功但无符合条件的数据,展示业务化空状态、当前筛选和明确下一步,清除筛选/创建/返回,与当前状态、权限或服务端version冲突的所有写操作,修改筛选或执行主行动,page_state_scr_search_002_empty,否,FROZEN_V1.2.2
STA-00107,SCR-SEARCH-002,ANDROID,搜索结果,ERROR,请求失败且无法展示可靠内容,展示稳定错误码、requestId、重试和返回,重试/返回,与当前状态、权限或服务端version冲突的所有写操作,按错误码恢复,page_state_scr_search_002_error,否,FROZEN_V1.2.2
STA-00108,SCR-SEARCH-002,ANDROID,搜索结果,OFFLINE,网络不可用,只读页面可展示标记为缓存的数据；写操作禁用,重试网络,与当前状态、权限或服务端version冲突的所有写操作,恢复网络后主动刷新,page_state_scr_search_002_offline,否,FROZEN_V1.2.2
STA-00109,SCR-LIST-001,ANDROID,项目列表,LOADING,首屏数据请求进行中,显示与最终布局一致的骨架屏,返回,与当前状态、权限或服务端version冲突的所有写操作,失败后显示重试,page_state_scr_list_001_loading,否,FROZEN_V1.2.2
STA-00110,SCR-LIST-001,ANDROID,项目列表,CONTENT,核心数据完整且可交互,展示内容并按权限/状态机计算操作入口,页面定义的读写动作,与当前状态、权限或服务端version冲突的所有写操作,刷新或执行操作,page_state_scr_list_001_content,否,FROZEN_V1.2.2
STA-00111,SCR-LIST-001,ANDROID,项目列表,EMPTY,查询成功但无符合条件的数据,展示业务化空状态、当前筛选和明确下一步,清除筛选/创建/返回,与当前状态、权限或服务端version冲突的所有写操作,修改筛选或执行主行动,page_state_scr_list_001_empty,否,FROZEN_V1.2.2
STA-00112,SCR-LIST-001,ANDROID,项目列表,REFRESHING,已有内容上执行刷新,保留内容并显示轻量刷新指示,取消刷新,与当前状态、权限或服务端version冲突的所有写操作,失败保留旧数据,page_state_scr_list_001_refreshing,否,FROZEN_V1.2.2
STA-00113,SCR-LIST-001,ANDROID,项目列表,APPENDING,列表加载下一页,列表尾部加载器；已加载项保持可用,取消翻页,与当前状态、权限或服务端version冲突的所有写操作,失败提供尾部重试,page_state_scr_list_001_appending,否,FROZEN_V1.2.2
STA-00114,SCR-LIST-001,ANDROID,项目列表,PARTIAL_ERROR,非首屏请求或单模块失败,保留现有内容并在对应区域提示,局部重试,与当前状态、权限或服务端version冲突的所有写操作,成功后回到CONTENT,page_state_scr_list_001_partial_error,否,FROZEN_V1.2.2
STA-00115,SCR-LIST-001,ANDROID,项目列表,ERROR,请求失败且无法展示可靠内容,展示稳定错误码、requestId、重试和返回,重试/返回,与当前状态、权限或服务端version冲突的所有写操作,按错误码恢复,page_state_scr_list_001_error,否,FROZEN_V1.2.2
STA-00116,SCR-LIST-001,ANDROID,项目列表,OFFLINE,网络不可用,只读页面可展示标记为缓存的数据；写操作禁用,重试网络,与当前状态、权限或服务端version冲突的所有写操作,恢复网络后主动刷新,page_state_scr_list_001_offline,否,FROZEN_V1.2.2
STA-00117,SCR-LIST-002,ANDROID,App列表,LOADING,首屏数据请求进行中,显示与最终布局一致的骨架屏,返回,与当前状态、权限或服务端version冲突的所有写操作,失败后显示重试,page_state_scr_list_002_loading,否,FROZEN_V1.2.2
STA-00118,SCR-LIST-002,ANDROID,App列表,CONTENT,核心数据完整且可交互,展示内容并按权限/状态机计算操作入口,页面定义的读写动作,与当前状态、权限或服务端version冲突的所有写操作,刷新或执行操作,page_state_scr_list_002_content,否,FROZEN_V1.2.2
STA-00119,SCR-LIST-002,ANDROID,App列表,EMPTY,查询成功但无符合条件的数据,展示业务化空状态、当前筛选和明确下一步,清除筛选/创建/返回,与当前状态、权限或服务端version冲突的所有写操作,修改筛选或执行主行动,page_state_scr_list_002_empty,否,FROZEN_V1.2.2
STA-00120,SCR-LIST-002,ANDROID,App列表,REFRESHING,已有内容上执行刷新,保留内容并显示轻量刷新指示,取消刷新,与当前状态、权限或服务端version冲突的所有写操作,失败保留旧数据,page_state_scr_list_002_refreshing,否,FROZEN_V1.2.2
STA-00121,SCR-LIST-002,ANDROID,App列表,APPENDING,列表加载下一页,列表尾部加载器；已加载项保持可用,取消翻页,与当前状态、权限或服务端version冲突的所有写操作,失败提供尾部重试,page_state_scr_list_002_appending,否,FROZEN_V1.2.2
STA-00122,SCR-LIST-002,ANDROID,App列表,PARTIAL_ERROR,非首屏请求或单模块失败,保留现有内容并在对应区域提示,局部重试,与当前状态、权限或服务端version冲突的所有写操作,成功后回到CONTENT,page_state_scr_list_002_partial_error,否,FROZEN_V1.2.2
STA-00123,SCR-LIST-002,ANDROID,App列表,ERROR,请求失败且无法展示可靠内容,展示稳定错误码、requestId、重试和返回,重试/返回,与当前状态、权限或服务端version冲突的所有写操作,按错误码恢复,page_state_scr_list_002_error,否,FROZEN_V1.2.2
STA-00124,SCR-LIST-002,ANDROID,App列表,OFFLINE,网络不可用,只读页面可展示标记为缓存的数据；写操作禁用,重试网络,与当前状态、权限或服务端version冲突的所有写操作,恢复网络后主动刷新,page_state_scr_list_002_offline,否,FROZEN_V1.2.2
STA-00125,SCR-LIST-003,ANDROID,群聊列表,LOADING,首屏数据请求进行中,显示与最终布局一致的骨架屏,返回,与当前状态、权限或服务端version冲突的所有写操作,失败后显示重试,page_state_scr_list_003_loading,否,FROZEN_V1.2.2
STA-00126,SCR-LIST-003,ANDROID,群聊列表,CONTENT,核心数据完整且可交互,展示内容并按权限/状态机计算操作入口,页面定义的读写动作,与当前状态、权限或服务端version冲突的所有写操作,刷新或执行操作,page_state_scr_list_003_content,否,FROZEN_V1.2.2
STA-00127,SCR-LIST-003,ANDROID,群聊列表,EMPTY,查询成功但无符合条件的数据,展示业务化空状态、当前筛选和明确下一步,清除筛选/创建/返回,与当前状态、权限或服务端version冲突的所有写操作,修改筛选或执行主行动,page_state_scr_list_003_empty,否,FROZEN_V1.2.2
STA-00128,SCR-LIST-003,ANDROID,群聊列表,REFRESHING,已有内容上执行刷新,保留内容并显示轻量刷新指示,取消刷新,与当前状态、权限或服务端version冲突的所有写操作,失败保留旧数据,page_state_scr_list_003_refreshing,否,FROZEN_V1.2.2
STA-00129,SCR-LIST-003,ANDROID,群聊列表,APPENDING,列表加载下一页,列表尾部加载器；已加载项保持可用,取消翻页,与当前状态、权限或服务端version冲突的所有写操作,失败提供尾部重试,page_state_scr_list_003_appending,否,FROZEN_V1.2.2
STA-00130,SCR-LIST-003,ANDROID,群聊列表,PARTIAL_ERROR,非首屏请求或单模块失败,保留现有内容并在对应区域提示,局部重试,与当前状态、权限或服务端version冲突的所有写操作,成功后回到CONTENT,page_state_scr_list_003_partial_error,否,FROZEN_V1.2.2
STA-00131,SCR-LIST-003,ANDROID,群聊列表,ERROR,请求失败且无法展示可靠内容,展示稳定错误码、requestId、重试和返回,重试/返回,与当前状态、权限或服务端version冲突的所有写操作,按错误码恢复,page_state_scr_list_003_error,否,FROZEN_V1.2.2
STA-00132,SCR-LIST-003,ANDROID,群聊列表,OFFLINE,网络不可用,只读页面可展示标记为缓存的数据；写操作禁用,重试网络,与当前状态、权限或服务端version冲突的所有写操作,恢复网络后主动刷新,page_state_scr_list_003_offline,否,FROZEN_V1.2.2
STA-00133,SCR-LIST-004,ANDROID,团队长列表,LOADING,首屏数据请求进行中,显示与最终布局一致的骨架屏,返回,与当前状态、权限或服务端version冲突的所有写操作,失败后显示重试,page_state_scr_list_004_loading,否,FROZEN_V1.2.2
STA-00134,SCR-LIST-004,ANDROID,团队长列表,CONTENT,核心数据完整且可交互,展示内容并按权限/状态机计算操作入口,页面定义的读写动作,与当前状态、权限或服务端version冲突的所有写操作,刷新或执行操作,page_state_scr_list_004_content,否,FROZEN_V1.2.2
STA-00135,SCR-LIST-004,ANDROID,团队长列表,EMPTY,查询成功但无符合条件的数据,展示业务化空状态、当前筛选和明确下一步,清除筛选/创建/返回,与当前状态、权限或服务端version冲突的所有写操作,修改筛选或执行主行动,page_state_scr_list_004_empty,否,FROZEN_V1.2.2
STA-00136,SCR-LIST-004,ANDROID,团队长列表,REFRESHING,已有内容上执行刷新,保留内容并显示轻量刷新指示,取消刷新,与当前状态、权限或服务端version冲突的所有写操作,失败保留旧数据,page_state_scr_list_004_refreshing,否,FROZEN_V1.2.2
STA-00137,SCR-LIST-004,ANDROID,团队长列表,APPENDING,列表加载下一页,列表尾部加载器；已加载项保持可用,取消翻页,与当前状态、权限或服务端version冲突的所有写操作,失败提供尾部重试,page_state_scr_list_004_appending,否,FROZEN_V1.2.2
STA-00138,SCR-LIST-004,ANDROID,团队长列表,PARTIAL_ERROR,非首屏请求或单模块失败,保留现有内容并在对应区域提示,局部重试,与当前状态、权限或服务端version冲突的所有写操作,成功后回到CONTENT,page_state_scr_list_004_partial_error,否,FROZEN_V1.2.2
STA-00139,SCR-LIST-004,ANDROID,团队长列表,ERROR,请求失败且无法展示可靠内容,展示稳定错误码、requestId、重试和返回,重试/返回,与当前状态、权限或服务端version冲突的所有写操作,按错误码恢复,page_state_scr_list_004_error,否,FROZEN_V1.2.2
STA-00140,SCR-LIST-004,ANDROID,团队长列表,OFFLINE,网络不可用,只读页面可展示标记为缓存的数据；写操作禁用,重试网络,与当前状态、权限或服务端version冲突的所有写操作,恢复网络后主动刷新,page_state_scr_list_004_offline,否,FROZEN_V1.2.2
STA-00141,SCR-DETAIL-001,ANDROID,项目详情,LOADING,首屏数据请求进行中,显示与最终布局一致的骨架屏,返回,与当前状态、权限或服务端version冲突的所有写操作,失败后显示重试,page_state_scr_detail_001_loading,否,FROZEN_V1.2.2
STA-00142,SCR-DETAIL-001,ANDROID,项目详情,CONTENT,核心数据完整且可交互,展示内容并按权限/状态机计算操作入口,页面定义的读写动作,与当前状态、权限或服务端version冲突的所有写操作,刷新或执行操作,page_state_scr_detail_001_content,否,FROZEN_V1.2.2
STA-00143,SCR-DETAIL-001,ANDROID,项目详情,STALE_CACHE,展示最近缓存但未验证最新版本,明确标记可能过期，禁用依赖版本的写操作,刷新,与当前状态、权限或服务端version冲突的所有写操作,成功后进入CONTENT,page_state_scr_detail_001_stale_cache,否,FROZEN_V1.2.2
STA-00144,SCR-DETAIL-001,ANDROID,项目详情,NOT_FOUND,资源不存在、已删除或不再可访问,显示资源状态，移除无效入口,返回来源列表,与当前状态、权限或服务端version冲突的所有写操作,来源列表同步更新,page_state_scr_detail_001_not_found,是,FROZEN_V1.2.2
STA-00145,SCR-DETAIL-001,ANDROID,项目详情,FORBIDDEN,已认证但无页面或字段权限,展示无权限原因，不泄露资源是否存在,返回,与当前状态、权限或服务端version冲突的所有写操作,权限变化后重新进入,page_state_scr_detail_001_forbidden,是,FROZEN_V1.2.2
STA-00146,SCR-DETAIL-001,ANDROID,项目详情,ERROR,请求失败且无法展示可靠内容,展示稳定错误码、requestId、重试和返回,重试/返回,与当前状态、权限或服务端version冲突的所有写操作,按错误码恢复,page_state_scr_detail_001_error,否,FROZEN_V1.2.2
STA-00147,SCR-DETAIL-001,ANDROID,项目详情,OFFLINE,网络不可用,只读页面可展示标记为缓存的数据；写操作禁用,重试网络,与当前状态、权限或服务端version冲突的所有写操作,恢复网络后主动刷新,page_state_scr_detail_001_offline,否,FROZEN_V1.2.2
STA-00148,SCR-DETAIL-002,ANDROID,App详情,LOADING,首屏数据请求进行中,显示与最终布局一致的骨架屏,返回,与当前状态、权限或服务端version冲突的所有写操作,失败后显示重试,page_state_scr_detail_002_loading,否,FROZEN_V1.2.2
STA-00149,SCR-DETAIL-002,ANDROID,App详情,CONTENT,核心数据完整且可交互,展示内容并按权限/状态机计算操作入口,页面定义的读写动作,与当前状态、权限或服务端version冲突的所有写操作,刷新或执行操作,page_state_scr_detail_002_content,否,FROZEN_V1.2.2
STA-00150,SCR-DETAIL-002,ANDROID,App详情,STALE_CACHE,展示最近缓存但未验证最新版本,明确标记可能过期，禁用依赖版本的写操作,刷新,与当前状态、权限或服务端version冲突的所有写操作,成功后进入CONTENT,page_state_scr_detail_002_stale_cache,否,FROZEN_V1.2.2
